NTNBP 150519;2015/03/13;1.1
NTNBP 150519;2015/07/03;13.67
NTNBP 150535;2015/07/08;0.04
LTN 010117;2015/03/09;1.9
LTN 010118;2015/03/23;0.2
LTN 010118;2015/07/03;38.65
LFT 070317;2015/03/06;0.1
LFT 010321;2015/03/10;0.1
LFT 010321;2015/07/03;2.73
LFT 010321;2015/07/08;1.37
